,attendance,away_team_errors,away_team_hits,home_team_errors,home_team_hits,temperature,wind_speed,total_runs,game_hours_dec,home_team_win,home_team_loss,Capacity,Home_Team_WP,Away_Team_WP,Distance_to_CF,Packed_Ratio,WinPerc_Diff,field_type_n,game_type_n,sky_Cloudy,sky_Drizzle,sky_In Dome,sky_Night,sky_Overcast,sky_Rain,sky_Sunny,sky_Unknown,DofWeek_Friday,DofWeek_Monday,DofWeek_Saturday,DofWeek_Sunday,DofWeek_Thursday,DofWeek_Tuesday,DofWeek_Wednesday
48,20674.0,0,9,0,9,64.0,6.0,7,2.9833333333333334,0,1,46897,0.4805,0.4744,415.0,0.44083843316203597,0.006099999999999994,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
49,22735.0,0,6,2,4,75.0,8.0,1,2.9166666666666665,0,1,41084,0.3377,0.5454,400.0,0.5533784441631778,-0.2077,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,18208.0,1,11,0,18,76.0,0.0,19,3.4333333333333336,1,0,48686,0.45,0.5263,407.0,0.37398841556094153,-0.07629999999999998,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
51,41357.0,1,9,0,16,59.0,16.0,22,3.35,1,0,41915,0.6203,0.4231,399.0,0.9866873434331385,0.1972,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
52,27217.0,0,5,1,4,72.0,0.0,6,2.5666666666666664,0,1,31042,0.4211,0.5316,404.0,0.8767798466593647,-0.11049999999999999,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,42933.0,0,11,0,6,68.0,8.0,7,2.783333333333333,0,1,45529,0.5263,0.5897,400.0,0.942981396472578,-0.06340000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,37053.0,0,11,1,8,66.0,8.0,5,3.2333333333333334,0,1,47715,0.5065,0.5263,401.0,0.7765482552656398,-0.01980000000000004,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
55,28755.0,0,8,4,9,67.0,8.0,11,3.7,0,1,38362,0.4744,0.3718,399.0,0.7495698868672124,0.10259999999999997,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
56,23809.0,0,4,2,4,51.0,1.0,3,2.6666666666666665,1,0,43651,0.4304,0.6053,401.0,0.545439967011065,-0.17489999999999994,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
57,24135.0,0,2,0,8,71.0,5.0,3,2.833333333333333,0,1,47170,0.4416,0.5256,400.0,0.5116599533601865,-0.08399999999999996,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
58,39077.0,0,8,0,10,50.0,14.0,7,3.3166666666666664,0,1,41922,0.5263,0.6203,408.0,0.9321358713801823,-0.09399999999999997,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
59,24749.0,0,14,0,11,58.0,10.0,11,3.55,0,1,38885,0.3289,0.5065,404.0,0.6364665037932364,-0.17759999999999992,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,28181.0,1,16,0,18,67.0,0.0,19,3.35,1,0,41900,0.4474,0.5325,400.0,0.6725775656324582,-0.08509999999999995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
61,49271.0,1,3,0,3,70.0,6.0,1,2.1166666666666667,1,0,56000,0.5443,0.4231,395.0,0.8798392857142857,0.12120000000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
62,40164.0,1,5,1,6,44.0,14.0,7,3.066666666666667,0,1,41649,0.6579,0.3377,400.0,0.9643448822300655,0.32020000000000004,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
63,34279.0,2,9,0,14,49.0,9.0,15,3.283333333333333,1,0,37755,0.5454,0.4868,420.0,0.9079327241424977,0.058599999999999985,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
64,40087.0,0,5,0,3,63.0,5.0,1,2.5166666666666666,0,1,45529,0.5263,0.4304,400.0,0.8804717872125458,0.09589999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,42338.0,0,11,1,9,84.0,14.0,10,3.3833333333333333,1,0,45529,0.5263,0.4744,400.0,0.9299128028289662,0.0519,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
66,41590.0,0,12,0,7,60.0,6.0,3,4.333333333333333,1,0,41915,0.6203,0.4805,399.0,0.9922462125730646,0.13979999999999998,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
67,41028.0,0,9,0,8,60.0,15.0,9,2.8666666666666667,0,1,40209,0.4231,0.5263,396.0,1.0,-0.10320000000000001,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
68,47822.0,0,6,1,11,53.0,10.0,10,3.15,1,0,47309,0.4868,0.5454,408.0,1.0,-0.058599999999999985,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
69,21719.0,0,5,1,10,78.0,5.0,7,3.333333333333333,0,1,36742,0.5325,0.4304,407.0,0.5911218768711556,0.10209999999999997,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
70,31559.0,0,11,1,8,81.0,11.0,5,3.45,0,1,41168,0.5256,0.5065,409.0,0.766590555771473,0.019100000000000006,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,35551.0,0,10,0,11,68.0,8.0,15,3.2333333333333334,0,1,41299,0.5065,0.6538,420.0,0.8608198745732342,-0.1473000000000001,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
72,17302.0,0,12,0,6,69.0,5.0,7,2.6833333333333336,0,1,35051,0.6053,0.5263,410.0,0.4936235770734073,0.07899999999999996,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
73,27567.0,2,15,3,11,73.0,11.0,20,3.633333333333333,0,1,42319,0.3718,0.4474,404.0,0.6514095323613507,-0.0756,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
